household_total_assets,annual_household_income
3077939,140359
4865260,266441
3710491,222526
2887770,195190
3423197,228048
3599144,284410
4653258,119546
3659753,95029
4252045,18656
4511723,19220
1809129,221572
3360872,45220
658695,108491
4497333,130133
796109,263648
2485781,58269
4635910,226718
695706,184005
1915619,44894
3784695,16446
2794270,263248
3305163,183165
3750077,127008
2287082,204371
955940,226892
2457125,252090
1452957,195071
1466998,162509
2320208,236869
3019364,955
4595975,280006
971008,226149
2660073,195382
3401030,27716
3430587,274073
1273104,57214
45430,125838
154029,244338
1282283,251214
1167181,97736
95287,272723
1058935,190643
2847231,274787
886524,47862
4157076,283880
4580283,15361
231911,191691
3186115,212887
1577254,94513
4276896,185707
3991027,127037
334507,148168
4426057,215843
2209392,84551
384157,160803
1741781,250106
1914444,197444
2515396,166464
469547,110790
4940822,242216
4009117,211883
1518021,33919
4808896,146095
414306,93462
1603090,144150
2451391,286387
1499760,181420
3871898,272286
3504655,271997
857504,67632
4310720,32594
2937309,251068
4211794,268978
38834,135485
1233796,251097
4787529,141797
3544044,157737
3707608,33871
1557945,124798
2944264,238624
4921073,22366
2253118,286896
1865839,118905
1265337,83442
752839,158382
3317942,61679
3303162,249951
3558778,63783
4400004,48674
3693213,258855
3561965,223942
4706388,221306
1404253,96569
706140,256256
1429466,216539
812284,109336
1746658,123326
4966829,23453
1815043,198964
1089474,184966
3802691,4871
2858405,106416
4401570,166119
1111483,235716
2622724,186162
2358431,217636
1349719,144594
1886498,65276
2466713,38640
659798,126489
2951189,52893
2438246,294497
1565669,67129
1200872,19054
2825707,73694
4088992,125782
3511761,21705
3926935,44876
3269404,251809
4057374,256809
1946096,126341
2065325,165657
450013,74082
3448583,286638
923136,135067
1296527,95859
3534607,262929
1184248,176839
1475239,6828
3774087,28374
3899205,97920
1722557,98728
2121036,221295
4908040,48476
1246666,50658
2014683,47235
1405638,224183
207989,264628
3877218,63445
1894588,89852
1901175,63355
803125,238251
2880444,135437
4988522,106133
1265202,84164
1705538,199810
4056236,106238
372066,2939
3795432,45635
1112046,195334
3518897,203578
3740787,45591
1213339,237412
3553589,31290
1156284,202707
2941428,238499
2931541,52368
518139,153547
872495,244268
2941895,98316
589940,136622
776668,41561
3399742,299383
335200,10098
1971577,229158
4259671,169778
1756151,245247
3368941,271486
2590692,140507
4130889,28179
539225,45477
2976320,35623
3268797,78453
4111887,190562
3137807,243168
2708482,83677
4531059,42551
4493880,142
4944891,70234
671344,271437
215649,191901
1759546,204440
3275839,107560
3857061,228033
3064915,138759
3626984,46631
126106,222272
810990,71558
2302294,114331
1900405,177050
3845812,210463
711299,103699
2334478,58797
4980150,94366
1807390,132697
2813076,236292
3069184,169107
834653,203986
3423762,9675
2466642,177980
1079952,92200
3506374,124019
1904497,80547
3840581,204409
2728603,8169
2070482,224289
3610357,120446
2754279,180271
4950668,59191
1067410,11290
1934614,283072
1627175,197104
2532721,129517
3078703,149798
1095067,176237
334126,244772
2077129,265785
1360551,248135
3756011,190991
2960491,143676
3034628,37020
4540315,244355
4729305,280925
116529,258383
4410697,204925
4188204,199926
1521052,58329
4509634,269216
4434599,178866
3639159,124059
1074506,82223
1079853,293009
1923204,31615
3972652,197492
4565519,235795
3140045,298080
4250151,215749
4625205,236428
1450112,297708
221030,201412
4354592,15943
131042,72305
4302831,28731
4227246,274956
821461,161169
2284359,151272
4189845,189743
3498885,72310
4144935,277950
1767753,104803
240759,19045
4826404,288070
400619,28866
3767587,228228
3485608,114992
4000457,106650
3511327,218704
4758099,260044
1071278,130484
3459783,273536
4495947,205531
2623635,250885
3850845,131075
3174133,21729
1444325,194622
2405693,67665
1255102,297939
621589,290157
4012483,92879
3803396,68783
3661982,295351
2756120,256819
1099789,204623
576898,64036
1596954,288370
4727592,202724
1770342,164017
509362,57568
1621075,223204
3736268,92184
4214399,61831
3882455,32012
1671103,298312
1591251,51056
3591491,189655
578451,140508
1381461,278168
3902300,70247
4874216,188466
3317076,276539
2941009,32966
4164825,89093
2651719,203791
4233967,221173
1144031,118662
3905305,228086
664931,51925
960751,274007
4612277,98066
56534,164265
505213,263636
4510957,167601
2549036,188593
232939,2216
2176067,92150
1461298,243031
4306998,156565
1488025,289847
4246903,76505
4599606,190317
1621554,136642
2382019,126018
2860025,114647
4006949,253042
3816007,32384
985874,196997
482927,35603
30641,93254
